Riding.code	Riding	Province	Riding.history	Parliament.no	Term	Id.2	Id	Name	Party.Name	Occupation	Religion	French	Length	switch.check	Ministry	Secretary	Change.party	Temporary.suspended.caucus	Excluded.caucus	Quit.caucus	First.Nations	Country.of.Birth	Note1	Note2	vote.id	H27S1V001	H27S1V002	H27S1V003	H27S1V004	H27S1V005	H27S1V006	H27S1V007	H27S1V008	H27S1V009	H27S1V010	H27S1V011	H27S1V012	H27S1V013	H27S1V014	H27S1V015	H27S1V016	H27S1V017	H27S1V018	H27S1V019	H27S1V020	H27S1V021	H27S1V022	H27S1V023	H27S1V024	H27S1V025	H27S1V026	H27S1V027	H27S1V028	H27S1V029	H27S1V030	H27S1V031	H27S1V032	H27S1V033	H27S1V034	H27S1V035	H27S1V036	H27S1V037	H27S1V038	H27S1V039	H27S1V040	H27S1V041	H27S1V042	H27S1V043	H27S1V044	H27S1V045	H27S1V046	H27S1V047	H27S1V048	H27S1V049	H27S1V050	H27S1V051	H27S1V052	H27S1V053	H27S1V054	H27S1V055	H27S1V056	H27S1V057	H27S1V058	H27S1V059	H27S1V060	H27S1V061	H27S1V062	H27S1V063	H27S2V001	H27S2V002	H27S2V003	H27S2V004	H27S2V005	H27S2V006	H27S2V007	H27S2V008	H27S2V009	H27S2V010	H27S2V011	H27S2V012	H27S2V013	H27S2V014	H27S2V015	H27S2V016	H27S2V017	H27S2V018	H27S2V019	H27S2V020	H27S2V021	H27S2V022	H27S2V023	H27S2V024	H27S2V025	H27S2V026	H27S2V027	H27S2V028	H27S2V029	H27S2V030	H27S2V031	H27S2V032	H27S2V033	H27S2V034	H27S2V035
	""	""	""		""		""	""	""	""												""	""		"Date"	"01.20.1966"	"01.21.1966"	"01.25.1966"	"01.27.1966"	"01.27.1966"	"03.09.1966"	"03.10.1966"	"03.10.1966"	"03.22.1966"	"03.22.1966"	"04.04.1966"	"04.05.1966"	"04.05.1966"	"04.05.1966"	"04.19.1966"	"04.21.1966"	"04.25.1966"	"05.02.1966"	"05.03.1966"	"05.09.1966"	"05.09.1966"	"05.17.1966"	"05.19.1966"	"06.06.1966"	"06.27.1966"	"07.14.1966"	"07.14.1966"	"07.14.1966"	"08.31.1966"	"08.31.1966"	"09.07.1966"	"10.06.1966"	"10.20.1966"	"10.20.1966"	"10.24.1966"	"10.25.1966"	"11.02.1966"	"11.22.1966"	"12.08.1966"	"12.08.1966"	"12.20.1966"	"12.20.1966"	"12.21.1966"	"01.27.1967"	"02.02.1967"	"02.02.1967"	"02.09.1967"	"02.16.1967"	"02.16.1967"	"02.28.1967"	"03.01.1967"	"03.01.1967"	"03.02.1967"	"03.02.1967"	"03.15.1967"	"03.16.1967"	"03.21.1967"	"03.21.1967"	"03.21.1967"	"04.03.1967"	"04.20.1967"	"04.25.1967"	"04.25.1967"	"05.11.1967"	"05.15.1967"	"05.15.1967"	"05.17.1967"	"05.24.1967"	"05.24.1967"	"07.07.1967"	"10.03.1967"	"10.05.1967"	"10.05.1967"	"10.10.1967"	"10.24.1967"	"10.24.1967"	"11.08.1967"	"11.13.1967"	"11.15.1967"	"11.16.1967"	"11.21.1967"	"11.21.1967"	"11.23.1967"	"11.30.1967"	"11.30.1967"	"11.30.1967"	"12.07.1967"	"12.11.1967"	"02.01.1968"	"02.06.1968"	"02.07.1968"	"02.19.1968"	"02.28.1968"	"02.29.1968"	"03.13.1968"	"03.15.1968"	"03.20.1968"	"03.20.1968"
2	"ACADIA"	"Alberta"	"1924 - 1966"	27	"1965.11.08"	2	"00163189-b2e2-4300-9100-81f7d68a7930"	"HORNER, Jack"	"Progressive Conservative Party"	"Farmer, rancher"		0	4									""	""		""	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"9"	"9"	"2"	"2"	"2"	"2"	"9"	"1"	"2"	"9"	"1"	"9"	"9"	"1"	"1"	"9"	"2"	"9"	"9"	"9"	"1"	"2"	"1"	"9"	"1"	"1"	"9"	"1"	"9"	"1"	"1"	"1"	"9"	"9"	"1"	"2"	"9"	"9"	"9"	"9"	"9"	"2"	"1"	"2"	"1"	"2"	"2"	"9"	"1"	"2"	"2"	"9"	"2"	"9"	"9"	"9"	"1"	"1"	"1"	"9"	"9"	"9"	"1"	"2"	"2"	"1"	"9"	"9"	"1"	"9"	"1"	"1"	"2"	"1"	"2"	"1"	"1"	"2"	"9"	"9"	"9"	"2"	"1"	"9"	"2"	"9"	"2"	"2"	"9"	"9"
675	"SELKIRK"	"Manitoba"	"1871 - 1976"	27	"1965.11.08"	8	"0121a695-494e-4869-8cc3-e6a46388c899"	"STEFANSON, Eric"	"Progressive Conservative Party"	"Insurance agent, merchant"		0	4									""	""		""	"1"	"1"	"1"	"2"	"1"	"9"	"9"	"9"	"2"	"1"	"2"	"2"	"2"	"2"	"2"	"1"	"9"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"2"	"9"	"9"	"9"	"1"	"2"	"9"	"2"	"9"	"9"	"9"	"1"	"1"	"9"	"1"	"1"	"9"	"9"	"9"	"9"	"1"	"2"	"9"	"9"	"9"	"2"	"9"	"9"	"1"	"2"	"2"	"2"	"9"	"9"	"9"	"9"	"2"	"2"	"2"	"2"	"9"	"9"	"1"	"2"	"1"	"9"	"1"	"2"	"2"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"2"	"1"	"9"	"1"	"1"	"2"	"2"	"1"	"2"	"2"	"1"	"2"	"2"	"2"	"2"	"2"	"1"	"1"
102	"CALGARY SOUTH"	"Alberta"	"1952 - 1987"	27	"1965.11.08"	16	"01cd94c6-1f53-4020-a63b-efe365195983"	"BALLARD, H. Ray"	"Progressive Conservative Party"	"Business executive, chartered accountant"		0	1									""	""		""	"9"	"1"	"1"	"2"	"1"	"9"	"9"	"9"	"9"	"9"	"9"	"1"	"1"	"1"	"9"	"9"	"2"	"1"	"1"	"9"	"9"	"1"	"1"	"9"	"9"	"9"	"9"	"9"	"1"	"2"	"1"	"2"	"9"	"9"	"9"	"2"	"9"	"1"	"9"	"9"	"9"	"9"	"1"	"2"	"9"	"9"	"1"	"1"	"2"	"2"	"1"	"2"	"1"	"2"	"9"	"9"	"9"	"2"	"9"	"9"	"2"	"2"	"2"	"2"	"1"	"1"	"1"	"9"	"9"	"9"	"1"	"2"	"2"	"1"	"9"	"9"	"1"	"1"	"1"	"1"	"2"	"1"	"9"	"9"	"9"	"9"	"2"	"1"	"9"	"2"	"1"	"9"	"2"	"2"	"9"	"9"	"9"	"9"
466	"MOOSE JAW--LAKE CENTRE"	"Saskatchewan"	"1952 - 1966"	27	"1965.11.08"	24	"027c5b6d-20e5-4745-aeac-691ab4f89809"	"PASCOE, J. Ernest"	"Progressive Conservative Party"	"Farmer, grain grower, journalist"		0	4									""	""		""	"1"	"1"	"1"	"2"	"1"	"1"	"1"	"1"	"2"	"1"	"2"	"2"	"2"	"2"	"2"	"1"	"2"	"1"	"1"	"9"	"9"	"1"	"1"	"1"	"2"	"9"	"9"	"2"	"1"	"2"	"9"	"2"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"9"	"1"	"2"	"1"	"1"	"2"	"2"	"1"	"2"	"1"	"2"	"2"	"9"	"9"	"9"	"9"	"2"	"2"	"2"	"9"	"2"	"1"	"1"	"1"	"2"	"1"	"9"	"1"	"2"	"2"	"1"	"1"	"1"	"1"	"9"	"1"	"1"	"2"	"1"	"2"	"9"	"9"	"9"	"2"	"1"	"2"	"2"	"1"	"9"	"2"	"2"	"2"	"2"	"1"	"2"
225	"FRASER VALLEY"	"British Columbia"	"1919 - 1966"	27	"1965.11.08"	39	"03bdeb92-5e2c-42ef-87e7-af2178b73f74"	"PATTERSON, Alex B."	"Social Credit"	"Minister"		0	5									""	""		""	"2"	"2"	"2"	"2"	"2"	"9"	"1"	"1"	"9"	"9"	"2"	"2"	"2"	"2"	"2"	"1"	"1"	"9"	"2"	"2"	"1"	"9"	"9"	"2"	"9"	"9"	"9"	"9"	"2"	"1"	"2"	"2"	"2"	"2"	"2"	"1"	"2"	"2"	"2"	"1"	"9"	"9"	"1"	"1"	"2"	"1"	"1"	"1"	"2"	"1"	"2"	"9"	"9"	"9"	"1"	"2"	"9"	"9"	"9"	"1"	"1"	"1"	"2"	"9"	"9"	"9"	"9"	"9"	"9"	"1"	"1"	"9"	"9"	"1"	"9"	"2"	"2"	"2"	"1"	"1"	"9"	"9"	"9"	"1"	"1"	"2"	"2"	"1"	"9"	"2"	"1"	"2"	"2"	"9"	"1"	"1"	"2"	"9"
561	"PORTAGE--NEEPAWA"	"Manitoba"	"1947 - 1966"	27	"1965.11.08"	40	"03cab084-4b6e-4ac1-bdb6-88f6666817e5"	"ENNS, Sig J."	"Progressive Conservative Party"	"Social worker"		0	3									"Russia"	""		""	"9"	"1"	"1"	"2"	"1"	"1"	"1"	"1"	"2"	"1"	"9"	"1"	"1"	"1"	"2"	"1"	"9"	"9"	"1"	"9"	"9"	"1"	"1"	"9"	"9"	"9"	"9"	"9"	"1"	"2"	"9"	"9"	"9"	"9"	"9"	"1"	"1"	"1"	"9"	"9"	"1"	"1"	"1"	"9"	"1"	"2"	"9"	"9"	"9"	"2"	"1"	"9"	"1"	"9"	"2"	"2"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"1"	"1"	"9"	"9"	"1"	"1"	"9"	"9"	"1"	"9"	"1"	"9"	"9"	"2"	"2"	"2"	"1"	"9"	"2"	"2"	"1"	"9"	"1"	"9"	"9"	"9"	"9"	"2"	"2"	"2"	"2"	"1"	"1"
622	"ROSETOWN--BIGGAR"	"Saskatchewan"	"1933 - 1966"	27	"1965.11.08"	55	"04f26a7d-620c-499a-a6ac-eb6bccb6d201"	"MCLELLAND, Ron D."	"Progressive Conservative Party"	"Farmer"		0	1									""	""		""	"1"	"1"	"1"	"2"	"1"	"1"	"1"	"1"	"2"	"1"	"2"	"2"	"2"	"2"	"2"	"1"	"9"	"1"	"1"	"9"	"9"	"9"	"9"	"9"	"2"	"9"	"9"	"9"	"9"	"9"	"9"	"2"	"1"	"1"	"9"	"1"	"1"	"1"	"1"	"1"	"9"	"9"	"9"	"9"	"1"	"2"	"1"	"1"	"2"	"9"	"9"	"9"	"9"	"9"	"2"	"9"	"9"	"9"	"9"	"9"	"2"	"9"	"2"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"1"	"1"	"1"	"9"	"1"	"1"	"2"	"1"	"2"	"1"	"1"	"2"	"2"	"9"	"2"	"2"	"1"	"2"	"2"	"2"	"2"	"2"	"1"	"1"
605	"RESTIGOUCHE--MADAWASKA"	"New Brunswick"	"1914 - 1966"	27	"1965.11.08"	72	"05f27042-0864-4a1d-9615-33d1398ba07b"	"DUBE, Jean-Eudes"	"Liberal Party of Canada"	"Barrister, lawyer"		1	3									""	""		""	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"1"	"2"	"1"	"2"	"2"	"1"	"1"	"2"	"9"	"9"	"2"	"1"	"9"	"9"	"9"	"9"	"9"	"2"	"1"	"9"	"1"	"2"	"2"	"2"	"1"	"2"	"2"	"9"	"9"	"9"	"1"	"2"	"9"	"9"	"9"	"2"	"2"	"1"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"2"	"2"	"1"	"1"	"9"	"1"	"9"	"2"	"2"	"2"	"2"	"2"	"2"	"9"	"2"	"2"	"2"	"2"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"2"	"2"	"1"	"2"	"2"	"9"	"1"	"2"	"1"	"1"	"2"	"1"	"1"	"1"	"1"
601	"RENFREW SOUTH"	"Ontario"	"1867 - 1966"	27	"1965.11.08"	81	"06e93f09-b544-450d-a6ff-b7e13cb6e920"	"GREENE, Joe"	"Liberal Party of Canada"	"Lawyer"		0	2		1							""	""		""	"9"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"1"	"1"	"1"	"2"	"2"	"1"	"1"	"2"	"1"	"1"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"2"	"1"	"2"	"1"	"2"	"2"	"2"	"9"	"9"	"9"	"9"	"9"	"2"	"1"	"2"	"9"	"2"	"1"	"2"	"2"	"1"	"1"	"2"	"2"	"2"	"1"	"1"	"2"	"2"	"2"	"1"	"9"	"9"	"1"	"9"	"9"	"9"	"9"	"2"	"9"	"9"	"1"	"2"	"9"	"9"	"2"	"2"	"2"	"9"	"9"	"9"	"9"	"2"	"2"	"1"	"2"	"2"	"1"	"2"	"9"	"9"	"1"	"2"	"9"	"1"	"9"	"1"	"1"	"1"	"1"
